,PlayerID,PlayerTypeID,ClubID,DateStarted
27865,301857,2,29,2021-01-01
27904,251800,2,13,2021-01-01
27914,251800,2,5,2021-01-01
27923,251800,2,29,2021-01-01
27950,251800,2,9,2021-01-01
27997,173404,2,29,2021-01-01
28074,295727,2,29,2021-01-01
28138,297116,2,29,2021-01-01
28146,157071,2,29,2021-01-01
28224,297150,2,29,2021-01-01
28277,266579,1,29,2021-01-01
28317,172596,1,29,2021-01-01
28348,222678,1,9,2021-01-01
28368,222678,1,29,2021-01-01
28425,249490,1,29,2021-01-01
28504,249490,1,18,2021-01-01
28509,101759,2,29,2021-01-01
28526,263224,3,1,2021-01-01
28573,304152,3,1,2021-01-01
28631,267206,3,1,2021-01-01
28653,319441,3,1,2021-01-01
28672,277208,2,1,2021-01-01
28736,285358,2,1,2021-01-01
28743,208436,1,1,2021-01-01
28767,266028,2,1,2021-01-01
28768,133099,3,2,2021-01-01
28799,286803,3,4,2021-01-01
28807,286803,3,2,2021-01-01
28833,219091,2,2,2021-01-01
28877,178062,2,2,2021-01-01
28910,228483,1,2,2021-01-01
28912,261401,3,15,2021-01-01
28979,297115,3,15,2021-01-01
28981,297107,2,15,2021-01-01
28982,292944,1,15,2021-01-01
29000,75574,1,12,2021-01-01
29001,75574,1,3,2021-01-01
29019,75574,1,15,2021-01-01
29034,288478,2,6,2021-01-01
29064,287360,2,6,2021-01-01
29065,254142,3,6,2021-01-01
29100,156506,3,6,2021-01-01
29141,312130,3,6,2021-01-01
29185,37323,2,6,2021-01-01
29209,336523,3,6,2021-01-01
29213,275984,2,6,2021-01-01
29219,270829,2,6,2021-01-01
29237,246371,2,6,2021-01-01
29303,288060,2,6,2021-01-01
29342,291746,2,6,2021-01-01
29356,294187,2,6,2021-01-01
29369,235672,1,6,2021-01-01
29403,220851,1,6,2021-01-01
29463,340596,1,6,2021-01-01
29506,221602,3,3,2021-01-01
29571,319024,3,3,2021-01-01
29610,136775,2,3,2021-01-01
29668,330207,2,3,2021-01-01
29675,249278,1,3,2021-01-01
29691,285629,1,3,2021-01-01
29709,329628,1,3,2021-01-01
29729,293831,1,3,2021-01-01
29747,341451,2,3,2021-01-01
29748,281323,3,27,2021-01-01
29764,281323,3,7,2021-01-01
29797,287768,2,7,2021-01-01
29820,148306,2,26,2021-01-01
29826,148306,2,7,2021-01-01
29836,178754,2,7,2021-01-01
29872,299527,2,7,2021-01-01
29875,159502,3,5,2021-01-01
29914,334227,3,5,2021-01-01
29952,254299,3,5,2021-01-01
29964,317021,3,5,2021-01-01
29997,173386,2,5,2021-01-01
30047,293826,2,5,2021-01-01
30112,296221,2,5,2021-01-01
30145,336809,1,5,2021-01-01
30193,297121,1,5,2021-01-01
30218,276138,3,9,2021-01-01
30240,153510,3,9,2021-01-01
30269,337023,3,9,2021-01-01
30291,220478,2,27,2021-01-01
30299,220478,2,9,2021-01-01
30350,333740,2,2,2021-01-01
30359,333740,2,9,2021-01-01
30383,324048,2,9,2021-01-01
30419,288873,2,9,2021-01-01
30449,153297,2,9,2021-01-01
30460,160974,2,9,2021-01-01
30477,340690,1,9,2021-01-01
30493,183154,1,9,2021-01-01
30524,106957,1,9,2021-01-01
30570,187273,3,4,2021-01-01
30615,171677,3,4,2021-01-01
30652,296216,3,4,2021-01-01
30706,275106,2,4,2021-01-01
30766,336552,2,4,2021-01-01
30786,180468,2,4,2021-01-01
30838,180468,2,9,2021-01-01
30865,333738,1,4,2021-01-01
30880,331611,3,8,2021-01-01
30882,333699,3,9,2021-01-01
30891,333699,3,27,2021-01-01
30911,333699,3,8,2021-01-01
30914,286517,3,8,2021-01-01
30928,269153,3,8,2021-01-01
30944,280931,2,8,2021-01-01
30973,318373,1,8,2021-01-01
30996,286516,1,8,2021-01-01
31047,232755,2,10,2021-01-01
